School_Name,School_ID,AR_Type,CHESTO3_2,HE2_1,HE2_2,HE2_3
,4400.0,K-8,1,1.0,1.0,1.0
,4630.0,K-8,1,1.0,1.0,1.0
,4121.0,K-5,1,1.0,1.0,1.0
,4084.0,K-5,1,1.0,1.0,1.0
,2190.0,6-8,1,1.0,1.0,1.0
,2360.0,6-8,1,1.0,1.0,1.0
,4033.0,K-8,1,1.0,1.0,1.0
,4160.0,K-8,1,1.0,1.0,1.0
,4171.0,K-8,1,1.0,1.0,1.0
,4661.0,K-8,1,1.0,1.0,1.0
,4620.0,K-8,1,1.0,,1.0
,4270.0,K-5,1,1.0,1.0,1.0
,4192.0,K-8,1,1.0,1.0,1.0
,4210.0,K-8,1,1.0,1.0,1.0
,4592.0,K-8,1,1.0,1.0,1.0
,4580.0,K-8,1,1.0,1.0,1.0
,4410.0,K-8,1,1.0,1.0,1.0
,4260.0,K-8,1,1.0,1.0,1.0
,4360.0,K-8,1,1.0,1.0,1.0
,4272.0,K-8,1,1.0,1.0,1.0
,4173.0,K-5,1,1.0,1.0,1.0
,4201.0,K-5,1,1.0,1.0,1.0
,4650.0,K-5,1,1.0,1.0,1.0
,1020.0,6-12,1,3.0,1.0,1.0
,1171.0,9-12,1,1.0,2.0,1.0
,1256.0,9-12,0,3.0,3.0,3.0
,2450.0,6-8,0,,,
,4053.0,K-8,0,,,
,4055.0,K-8,0,,,
,4130.0,K-8,0,,,
,1162.0,9-12,0,,,
,1140.0,K-12,0,1.0,2.0,2.0
,4178.0,K-8,0,,,
,1120.0,9-12,0,,,
,1103.0,9-12,0,,,
,1080.0,9-12,0,3.0,3.0,3.0
,1260.0,6-12,0,2.0,2.0,2.0
,1070.0,9-12,0,3.0,3.0,3.0
,1064.0,9-12,0,,,
,1053.0,9-12,0,,,
,4230.0,K-8,0,,,
,1050.0,9-12,0,,,
,4242.0,K-8,0,,,
,1040.0,9-12,0,,,
,1030.0,6-12,0,3.0,2.0,2.0
,4261.0,9-12,0,,,
,1195.0,9-12,0,3.0,3.0,3.0
,1200.0,9-12,0,3.0,3.0,3.0
,2140.0,6-8,0,,,
,1210.0,9-12,0,,,
,1265.0,9-12,0,3.0,3.0,3.0
,1285.0,9-12,0,3.0,1.0,3.0
,1292.0,6-8,0,,,
,1293.0,9-12,0,,,
,1311.0,Alt,0,,,
,1315.0,Alt,0,,,
,1340.0,9-12,0,3.0,3.0,3.0
,1253.0,9-12,0,3.0,3.0,3.0
,1410.0,9-12,0,,,
,1420.0,9-12,0,3.0,3.0,3.0
,1430.0,9-12,0,,,
,1440.0,9-12,0,,,
,4285.0,K-8,0,,,
,1450.0,6-12,0,1.0,2.0,2.0
,1230.0,9-12,0,,,
,1460.0,6-12,0,,,
,1470.0,6-12,0,,,
,1990.0,9-12,0,,,
,1215.0,Alt,0,,,
,2010.0,6-8,0,,,
,2040.0,6-8,0,,,
,4283.0,K-8,0,,,
,,Alt,0,,,
,4290.0,K-8,0,,,
,4543.0,K-5,0,2.0,2.0,2.0
,4311.0,K-5,0,2.0,2.0,2.0
,4321.0,K-8,0,3.0,3.0,3.0
,4322.0,K-5,0,2.0,2.0,2.0
,4361.0,K-5,0,3.0,3.0,3.0
,4370.0,K-5,0,3.0,3.0,3.0
,4390.0,K-5,0,3.0,3.0,3.0
,4440.0,K-5,0,3.0,3.0,3.0
,4450.0,K-5,0,3.0,3.0,4.0
,4460.0,K-5,0,2.0,2.0,4.0
,4530.0,K-5,0,3.0,3.0,3.0
,4531.0,K-5,0,3.0,3.0,3.0
,4541.0,K-5,0,3.0,3.0,3.0
,4560.0,K-5,0,3.0,3.0,3.0
,4280.0,K-5,0,3.0,3.0,3.0
,4561.0,K-5,0,3.0,3.0,3.0
,4590.0,K-5,0,3.0,3.0,3.0
,4621.0,K-5,0,2.0,2.0,4.0
,4640.0,K-5,0,3.0,3.0,3.0
,4670.0,K-5,0,3.0,3.0,3.0
,4691.0,K-5,0,3.0,3.0,4.0
,1291.0,K-5,0,,,
,1294.0,6-12,0,,,
,1320.0,Alt,0,,,
,1330.0,Alt,0,,,
,1365.0,Alt,0,,,
,1370.0,Alt,0,,,
,4291.0,K-5,0,3.0,3.0,3.0
,4250.0,K-5,0,3.0,3.0,3.0
,4323.0,K-8,0,,,
,4061.0,K-5,0,3.0,3.0,3.0
,4331.0,K-8,0,,,
,4345.0,K-8,0,,,
,4381.0,K-8,0,,,
,4350.0,K-5,0,,,
,4570.0,K-8,0,,,
,4600.0,K-8,0,,,
,4610.0,Alt,0,,,
,4671.0,K-8,0,,,
,4680.0,K-8,0,2.0,1.0,2.0
,4022.0,K-5,0,2.0,2.0,2.0
,4030.0,K-5,0,3.0,3.0,3.0
,4052.0,K-5,0,3.0,3.0,3.0
,4062.0,K-5,0,2.0,2.0,2.0
,4241.0,K-5,0,3.0,3.0,3.0
,4070.0,K-5,0,3.0,3.0,3.0
,4080.0,K-5,0,3.0,3.0,3.0
,4081.0,K-5,0,3.0,3.0,3.0
,4082.0,K-5,0,2.0,2.0,2.0
,4100.0,K-5,0,3.0,3.0,3.0
,4113.0,K-5,0,3.0,3.0,3.0
,4123.0,K-5,0,,,
,4140.0,K-5,0,3.0,3.0,3.0
,4151.0,K-5,0,2.0,2.0,2.0
,4200.0,K-5,0,3.0,3.0,3.0
,4231.0,K-5,0,3.0,3.0,4.0
,4240.0,K-5,0,3.0,3.0,3.0
,1010.0,6-12,0,3.0,2.0,1.0
