School_Name,School_ID,CHESTO3_3,HE2_4,HE2_5,HE2_6,HE2_7
Boston Latin School,1010,1,2.0,1.0,2.0,2.0
Channing Elementary,4201,1,1.0,1.0,1.0,
Another Course to College,1230,1,1.0,1.0,1.0,2.0
Urban Science Academy,1253,1,1.0,1.0,1.0,1.0
West Roxbury Academy,1256,1,1.0,1.0,1.0,1.0
Dearborn 6-12 STEM Academy,1260,1,1.0,1.0,2.0,2.0
Fenway High School,1265,1,1.0,2.0,2.0,2.0
New Mission High School,1285,1,1.0,2.0,2.0,2.0
Winship Elementary,4173,1,1.0,1.0,1.0,4.0
Boston Community Leadership Academy,1195,1,1.0,2.0,2.0,2.0
Mason Elementary,4121,1,1.0,1.0,1.0,4.0
Community Academy,1340,1,1.0,2.0,2.0,1.0
Holmes Elementary,4084,1,1.0,1.0,1.0,4.0
Boston Arts Academy,1420,1,1.0,3.0,3.0,3.0
Kennedy E.M Academy for Health Careers (9-10) & (11-12),1440,1,1.0,1.0,,
Quincy Upper School,1450,1,1.0,2.0,2.0,2.0
Snowden International High School,1200,1,2.0,1.0,2.0,2.0
Kennedy John F Elementary,4270,1,1.0,1.0,1.0,4.0
English High School,1080,1,1.0,1.0,1.0,1.0
Blackstone Innovation School,4640,1,3.0,1.0,1.0,4.0
O'Bryant School of Math & Science,1030,1,1.0,1.0,1.0,1.0
Excel High School,1162,1,1.0,1.0,1.0,1.0
Henderson Inclusion School K-12,1140,1,1.0,2.0,2.0,2.0
Boston Latin Academy,1020,1,1.0,1.0,1.0,1.0
Burke High School,1120,1,2.0,1.0,1.0,
Community Academy of Science and Health,1103,1,1.0,1.0,1.0,1.0
Brighton High School,1040,1,1.0,2.0,2.0,2.0
East Boston High School,1070,1,1.0,1.0,1.0,1.0
Quincy Elementary,4650,1,1.0,1.0,1.0,4.0
Hernandez K-8,4053,0,,,,
Hennigan K-8 School,4230,0,,,,
Kilmer K-8 School,4033,0,,,,
UP Academy Boston,2450,0,,,,
Frederick Pilot Middle School,2360,0,,,,
King K-8 School,4055,0,,,,
Gardner Pilot Academy,4160,0,3.0,3.0,3.0,3.0
Carter School,4261,0,,,,
Greenwood Sarah K-8 School,4130,0,,,,
