School_Name,School_ID,AR_Type,FNSIMO3_2,P30_1,P30_2,P30_3,P30_5,P30_6,P30_7,P30_9,P30_10,P30_11,P30_12,P30_14,P30_16,P30_1,P30_2,P30_3,P30_5,P30_6,P30_7,P30_8,P30_9,P30_10,P30_11,P30_12,P30_14,P30_16
Young Achievers K-8 School,4600,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Winthrop Elementary,4052,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Winship Elementary,4173,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
West Zone Early Learning Center,4231,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
West Roxbury Academy,1256,"=""9-12""",0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
Warren/Prescott K-8 School,4283,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Science Academy,1253,"=""9-12""",0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
Umana Academy,4323,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
UP Academy Holland,4250,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
UP Academy Dorchester,4345,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
UP Academy Boston,2450,"=""6-8""",0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
Tynan Elementary,4590,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Trotter K-8 School,4580,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Tobin K-8 School,4570,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Timilty Middle School,2040,"=""6-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
TechBoston Academy 6-12,1460,"=""6-12""",,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Elementary,4151,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Sumner Elementary,4560,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Snowden International High School,1200,"=""9-12""",0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0
Shaw Elementary,4670,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Elementary,4530,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Roosevelt K-8 School,4192,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy Upper School,1450,"=""6-12""",,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy Elementary,4650,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Philbrick Elementary,4561,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Perry K-8 School,4592,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins Elementary,4022,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Otis Elementary,4322,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Orchard Gardens K-8 School,4680,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ohrenberger School,4410,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
O'Donnell Elementary,4543,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
O'Bryant School of Math & Science,1030,"=""6-12""",0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
New Mission High School,1285,"=""9-12""",,,,,,,,,,,,,,,,,,,,,,,,,,
Murphy K-8 School,4400,"=""K-8""",0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
Muniz Academy,1053,"=""9-12""",,,,,,,,,,,,,,,,,,,,,,,,,,
Mozart Elementary,4082,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Mission Hill K-8 School,4285,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Mildred Avenue K-8 School,4671,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Mendell Elementary,4370,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
McKinley Prep High School,1293,"=""9-12""",,,,,,,,,,,,,,,,,,,,,,,,,,
McKinley Middle,1292,"=""6-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
McKay K-8 School,4360,"=""K-8""",0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
McCormack Middle School,2190,"=""6-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Mattapan EES,4691,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Elementary,4121,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Manning Elementary,4311,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Park Technical Vocational High,1210,"=""9-12""",0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
Lyon K-8 School,4171,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Lyon High School,1171,"=""9-12""",,,,,,,,,,,,,,,,,,,,,,,,,,
Lyndon K-8 School,4331,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Lee K-8 School,4290,"=""K-8""",0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
Lee Academy,4291,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
King K-8 School,4055,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Kilmer K-8 School,4033,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Elementary,4390,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Kennedy Patrick J. Elementary,4541,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Kennedy John F Elementary,4270,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Kennedy E.M Academy for Health Careers (9-10) & (11-12),1440,"=""9-12""",,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson/Mann K-8 School,4620,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Irving Middle School,2140,"=""6-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Hurley K-8 School,4260,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Horace Mann School for the Deaf Hard of Hearing,4610,"=""K-12""",,,,,,,,,,,,,,,,,,,,,,,,,,
Holmes Elementary,4084,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Higginson/Lewis K-8,4242,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Higginson K-2,4241,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Hernandez K-8,4053,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Hennigan K-8 School,4230,"=""K-8""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Henderson Inclusion School K-12,1140,"=""K-12""",,,,,,,,,,,,,,,,,,,,,,,,,,
Haynes Early Education Center,4460,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard/Kent Elementary,4280,"=""K-5""",0,,,,,,,,,,,,,,,,,,,,,,,,,
