School_Name,School_ID,AR_Type,PEPAIMO4_1,CSPAP1_1,CSPAP1_2,CSPAP1_3,CSPAP1_4,CSPAP1_5,CSPAP1_6,CSPAP1_7,CSPAP1_8,CSPAP1_9,CSPAP1_10,CSPAP2_1,CSPAP2_2,CSPAP2_3,CSPAP2_4,CSPAP2_5,CSPAP2_6,CSPAP2_7,CSPAP2_8,CSPAP2_9,CSPAP2_10,CSPAP3_1,CSPAP3_2,CSPAP3_3,CSPAP3_4,CSPAP3_5,CSPAP3_6,CSPAP3_7,CSPAP3_8,CSPAP3_9,CSPAP3_10,CSPAP4_1,CSPAP4_2,CSPAP4_3,CSPAP4_4,CSPAP4_5,CSPAP4_6,CSPAP4_7,CSPAP4_8,CSPAP4_9,CSPAP4_10,CSPAP5_1,CSPAP5_2,CSPAP5_3,CSPAP5_4,CSPAP5_5,CSPAP5_6,CSPAP5_7,CSPAP5_8,CSPAP5_9,CSPAP5_10
Young Achievers K-8 School,4600,"=""K-8""",1,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
Winthrop Elementary,4052,"=""K-5""",1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,120.0,120.0,120.0,120.0,120.0,120.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,100.0,100.0,50.0,50.0,50.0,50.0,,,
Winship Elementary,4173,"=""K-5""",0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,-999.0,-999.0,-999.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,-999.0,-999.0,-999.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-999.0,-999.0,-999.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,-999.0,-999.0,-999.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-999.0,-999.0,-999.0
West Zone Early Learning Center,4231,"=""K-5""",1,300.0,300.0,300.0,,,,,,,,150.0,150.0,150.0,,,,,,,,300.0,300.0,250.0,,,,,,,,45.0,45.0,45.0,,,,,,,,60.0,60.0,60.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
West Roxbury Academy,1256,"=""9-12""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Warren/Prescott K-8 School,4283,"=""K-8""",1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,10.0,10.0,10.0,,,,,,,,,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,10.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
Urban Science Academy,1253,"=""9-12""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Umana Academy,4323,"=""K-8""",0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,120.0,-999.0,275.0,275.0,165.0
UP Academy Holland,4250,"=""K-5""",0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,90.0,90.0,60.0,60.0,60.0,60.0,60.0,,,,50.0,50.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,
UP Academy Dorchester,4345,"=""K-8""",0,230.0,230.0,115.0,115.0,115.0,115.0,115.0,0.0,0.0,0.0,180.0,180.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,180.0,180.0,60.0,60.0,45.0,45.0,45.0,30.0,30.0,30.0,50.0,50.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
UP Academy Boston,2450,"=""6-8""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,30.0,30.0,30.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.0,10.0,20.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-999.0,-999.0,-999.0
Tynan Elementary,4590,"=""K-5""",0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-999.0,-999.0,-999.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,-999.0,-999.0,-999.0,40.0,40.0,25.0,25.0,25.0,25.0,25.0,-999.0,-999.0,-999.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,-999.0,-999.0,-999.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,,,
Trotter K-8 School,4580,"=""K-8""",0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,15.0,15.0,15.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0
Tobin K-8 School,4570,"=""K-8""",0,110.0,110.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,120.0,120.0,180.0,180.0,60.0,0.0,120.0,180.0,120.0
