School_Name,School_ID,AR_Type,PEPASTO3_2,CSPAP1_8,CSPAP1_9,CSPAP1_10
"Alighieri, Dante Montessori",4321,"=""K-8""",1,100.0,-999.0,-999.0
Boston Teachers Union K-8 Pilot,4661,"=""K-8""",1,100.0,100.0,100.0
Condon K-8,4630,"=""K-8""",1,100.0,100.0,100.0
Young Achievers K-8 School,4600,"=""K-8""",1,150.0,150.0,150.0
Tobin K-8 School,4570,"=""K-8""",1,165.0,165.0,165.0
Murphy K-8 School,4400,"=""K-8""",1,125.0,125.0,125.0
Eliot K-8 Innovation School,4381,"=""K-8""",1,120.0,120.0,120.0
Lyndon K-8 School,4331,"=""K-8""",1,100.0,100.0,100.0
Mission Hill K-8 School,4285,"=""K-8""",1,150.0,150.0,150.0
Warren/Prescott K-8 School,4283,"=""K-8""",1,100.0,100.0,100.0
Hurley K-8 School,4260,"=""K-8""",1,100.0,100.0,100.0
Roosevelt K-8 School,4192,"=""K-8""",1,180.0,180.0,180.0
Edison K-8 School,4178,"=""K-8""",1,100.0,100.0,100.0
Lyon K-8 School,4171,"=""K-8""",1,100.0,100.0,100.0
Greenwood Sarah K-8 School,4130,"=""K-8""",1,100.0,100.0,100.0
King K-8 School,4055,"=""K-8""",1,170.0,170.0,170.0
Hernandez K-8,4053,"=""K-8""",1,150.0,150.0,150.0
Orchard Gardens K-8 School,4680,"=""K-8""",0,0.0,0.0,0.0
Mildred Avenue K-8 School,4671,"=""K-8""",0,85.0,85.0,85.0
Jackson/Mann K-8 School,4620,"=""K-8""",0,75.0,75.0,75.0
Perry K-8 School,4592,"=""K-8""",0,75.0,75.0,75.0
Trotter K-8 School,4580,"=""K-8""",0,0.0,0.0,0.0
Ohrenberger School,4410,"=""K-8""",0,75.0,75.0,75.0
McKay K-8 School,4360,"=""K-8""",0,80.0,80.0,80.0
UP Academy Dorchester,4345,"=""K-8""",0,0.0,0.0,0.0
Umana Academy,4323,"=""K-8""",0,0.0,0.0,0.0
Lee K-8 School,4290,"=""K-8""",0,45.0,45.0,45.0
Curley K-8 School,4272,"=""K-8""",0,40.0,40.0,40.0
Higginson/Lewis K-8,4242,"=""K-8""",0,25.0,20.0,20.0
Hennigan K-8 School,4230,"=""K-8""",0,0.0,0.0,0.0
Haley Pilot School,4210,"=""K-8""",0,50.0,50.0,50.0
Gardner Pilot Academy,4160,"=""K-8""",0,75.0,75.0,75.0
Kilmer K-8 School,4033,"=""K-8""",0,60.0,60.0,60.0
