School_Name,School_ID,AR_Type,SSSSTO2_4,BPSP66_8
Succeed Boston,,"=""Alt""",1,
Curley K-8 School,4272.0,"=""K-8""",1,
Mason Elementary,4121.0,"=""K-5""",1,
Holmes Elementary,4084.0,"=""K-5""",1,
Bates Elementary,4081.0,"=""K-5""",1,
Conley Elementary,4080.0,"=""K-5""",1,
Bradley Elementary,4062.0,"=""K-5""",1,
Winthrop Elementary,4052.0,"=""K-5""",1,
Beethoven Elementary,4030.0,"=""K-5""",1,
Perkins Elementary,4022.0,"=""K-5""",1,
Perry K-8 School,4592.0,"=""K-8""",1,
Tobin K-8 School,4570.0,"=""K-8""",1,
Mather Elementary,4350.0,"=""K-5""",1,
Umana Academy,4323.0,"=""K-8""",1,
Mission Hill K-8 School,4285.0,"=""K-8""",1,
Carter School,4261.0,"=""9-12""",1,
West Zone Early Learning Center,4231.0,"=""K-5""",1,
Hurley K-8 School,4260.0,"=""K-8""",1,
Roosevelt K-8 School,4192.0,"=""K-8""",1,
Gardner Pilot Academy,4160.0,"=""K-8""",1,
King K-8 School,4055.0,"=""K-8""",1,
Kilmer K-8 School,4033.0,"=""K-8""",1,
Timilty Middle School,2040.0,"=""6-8""",1,
Greater Egleston High School,1430.0,"=""9-12""",1,
McKinley Middle,1292.0,"=""6-8""",1,
Dearborn 6-12 STEM Academy,1260.0,"=""6-12""",1,
Another Course to College,1230.0,"=""9-12""",1,
Boston Community Leadership Academy,1195.0,"=""9-12""",1,
Community Academy of Science and Health,1103.0,"=""9-12""",1,
English High School,1080.0,"=""9-12""",1,
Dudley Street Neighborhood Charter,4123.0,"=""K-5""",1,
Boston Latin School,1010.0,"=""6-12""",1,
McKinley So. End Acad,1294.0,"=""6-12""",1,
Otis Elementary,4322.0,"=""K-5""",1,
Baldwin Early Learning Pilot Academy,4621.0,"=""K-5""",1,
Tynan Elementary,4590.0,"=""K-5""",1,
Philbrick Elementary,4561.0,"=""K-5""",1,
Sumner Elementary,4560.0,"=""K-5""",1,
O'Donnell Elementary,4543.0,"=""K-5""",1,
Kennedy Patrick J. Elementary,4541.0,"=""K-5""",1,
Mattapan EES,4691.0,"=""K-5""",1,
Clap Innovation School,4531.0,"=""K-5""",1,
Haynes Early Education Center,4460.0,"=""K-5""",1,
McKinley Elementary,1291.0,"=""K-5""",1,
Ostiguy Recovery School,1320.0,"=""Alt""",1,
Ellison/Parks Early Education School,4440.0,"=""K-5""",1,
EDCO Youth,1330.0,"=""Alt""",1,
Adams Elementary,4361.0,"=""K-5""",1,
Quincy Elementary,4650.0,"=""K-5""",1,
Kennedy John F Elementary,4270.0,"=""K-5""",1,
Manning Elementary,4311.0,"=""K-5""",1,
